avail.datasets,simple.classes,simple.attributes,simple.numeric,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.nominal_rate,simple.symbols_min,simple.symbols_max,simple.symbols_mean,simple.symbols_sd,simple.symbols_sum,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,simple.class_prob_sd,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.kurtosis_prep,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.class_entropy,inftheo.normalized_class_entropy,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.joint_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.leaves,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.level_max,modelbased.level_mean,modelbased.level_sd,modelbased.branch_min,modelbased.branch_max,modelbased.branch_mean,modelbased.branch_sd,modelbased.attribute_min,modelbased.attribute_max,modelbased.attribute_mean,modelbased.attribute_sd,landmarking.naive_bayes,landmarking.stump_min,landmarking.stump_max,landmarking.stump_mean,landmarking.stump_sd,landmarking.stump_min_gain,landmarking.stump_random,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,t2,edges,degree,density,maxComp,closeness,betweenness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_fun_evals,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_fun_evals,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_level.costs_fun_evals,ela_level.costs_runtime,Class
1037_ada_prior,2,14,6,8,4562,0.003069,0.428571,0.571429,2,39,10.888889,11.580635,98,0.248137,0.751863,0.5,0.356188,3.304282,13.855256,57.613233,390.196049,0.184244,0.609164,1.0,0.560279,0.808312,1.300331,0.498574,1.2347,0.04622,12.122069,27.133671,7,8,0.5,0.001534,0.125,2,4,3.5,1.0,3,5,4.25,0.886405,0,3,0.5,0.85485,0.821131,0.751863,0.792416,0.75584,0.011272,0.751863,0.751863,0.767646,0.365,3.302,0.267,0.026,0.04,0.781,0.196,0.389,0.326,0.603,0.231,0.271,0.996,325.857,1137615,498.735204,0.109348,3430,0.0,4534.469531,0.202783,0.786903,4.324817,0.5474385153865,0.555297666856803,0.0050378236953597,0.0057606682572681,1.1434834971645,0.761785057826205,0.551706461510108,1.21918498139703,0.860248148766879,0,0.0900000000001455,1.27585858453519,-0.0791327814787208,33.0,0.0,0.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0,318.720000000001,Tuning
1043_ada_agnostic,2,47,47,0,4562,0.010302,1.0,0.0,2,2,2.0,0.0,2,0.248137,0.751863,0.5,0.356188,6.494871,6.494871,158.014522,158.014522,0.054273,0.597873,1.0,0.560279,0.808312,0.417184,0.09887,0.560279,0.014956,37.462413,26.894542,5,6,0.106383,0.001096,0.166667,2,4,2.5,1.0,3,5,3.833333,0.983192,0,2,0.106383,0.374981,0.680842,0.751863,0.792416,0.753108,0.00627,0.751863,0.751863,0.770715,0.693,2.976,0.0,0.026,0.046,0.988,0.178,0.248,0.328,0.485,0.229,0.25,0.998,97.064,1507931,661.083297,0.144943,3430,0.0,1320.599079,0.280013,0.595926,1.941041,0.540736995278986,0.560597528432006,0.0054893313324916,0.0059664992895249,1.08692642657748,0.744880888600251,0.543863314657847,3.55115032937567,0.85425569513808,0,0.0400000000008731,1.15609613465304,-0.413838772599503,21.0,0.0,0.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0,226.129999999997,Tuning
1048_jEdit_4.2_4.3,2,8,8,0,369,0.02168,1.0,0.0,2,2,2.0,0.0,2,0.447154,0.552846,0.5,0.074735,3.699077,3.699077,29.002704,29.002704,0.29935,0.340004,1.0,0.687551,0.991927,0.694714,0.235941,0.687551,0.019753,34.808049,34.170662,6,7,0.75,0.01626,0.142857,2,4,2.4,0.894427,2,6,4.428571,1.397276,0,3,0.75,1.164965,0.539295,0.566396,0.631436,0.60332,0.021822,0.566396,0.604336,0.688347,0.156,0.566,0.004,0.049,0.079,0.876,0.447,0.5,0.542,0.777,0.312,0.411,0.995,46.125,7005,37.96748,0.103172,204,1.5e-05,213.124661,0.189859,0.759316,2.967594,0.486886974405047,0.536509034571953,0.0014827682579848,0.0035244277519428,2.37692419767115,0.567683011981038,0.571894290329017,26.0467982550354,0.764204518307656,0,0.0399999999990541,0.849830726198501,-0.827325687040585,61.0,0.0,0.0,0.0114333333333333,0.0114333333333333,0.0114333333333333,1.0,1.0,1.0,0.0114333333333333,0.0114333333333333,0.0114333333333333,1.0,1.0,1.0,0.0948333333333333,0.0913666666666667,0.063,1.03794235680409,1.50529100529101,1.45026455026455,0,230.050000000003,Defaults
1049_pc4,2,37,37,0,1458,0.025377,1.0,0.0,2,2,2.0,0.0,2,0.122085,0.877915,0.5,0.534452,4.278449,4.278449,46.50384,46.50384,0.3649,0.568092,1.0,0.371059,0.535325,0.675501,0.1857,0.371059,0.014632,25.3587,45.164711,21,22,0.567568,0.014403,0.045455,2,6,3.5,1.732051,2,13,8.318182,3.137885,0,3,0.567568,0.834684,0.879287,0.877915,0.877915,0.877915,0.0,0.877915,0.877915,0.874486,0.592,5.899,0.0,0.123,0.349,0.265,0.122,0.5,0.197,0.446,0.126,0.287,0.998,39.405,157182,215.613169,0.147984,1280,3e-06,1728.109053,0.24485,0.779664,4.031724,0.439388993465959,0.536891617811577,0.0034631924535502,0.0042379892680756,1.22372329141893,0.639280254689818,0.46138110372267,1.39806099992913,0.791770786351463,0,0.0399999999990541,,,,,,0.0936333333333333,0.0916333333333333,0.0908333333333333,1.02182611858858,1.03082568807339,1.00880733944954,0.0936333333333333,0.0916333333333333,0.0912,1.02182611858858,1.02668128654971,1.0047514619883,0.0936333333333333,0.0916333333333333,0.091,1.02182611858858,1.02893772893773,1.00695970695971,0,283.760000000002,Tuning
1050_pc3,2,37,37,0,1563,0.023672,1.0,0.0,2,2,2.0,0.0,2,0.102367,0.897633,0.5,0.562338,6.428958,6.428958,124.244943,124.244943,0.419897,0.444716,1.0,0.330253,0.476455,0.566095,0.15346,0.330253,0.009452,34.941598,58.894161,21,22,0.567568,0.013436,0.045455,2,6,3.818182,1.88776,3,12,7.181818,2.575274,0,4,0.567568,0.834684,0.458093,0.897633,0.897633,0.897633,0.0,0.897633,0.897633,0.873321,0.505,0.417,0.0,0.065,0.137,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1.0,42.243,186830,239.065899,0.153051,1403,4e-06,1932.414587,0.259441,0.777148,4.042278,0.236486293140208,0.509727232842426,0.0007377486628917,0.0012362024640287,1.67564175471785,0.325306659232294,0.309128711125608,1.17578354501771,0.568459234538959,0,0.0299999999988358,,,,,,0.0959,0.094,0.0927,1.02021276595745,1.03451995685005,1.01402373247033,0.107933333333333,0.0874,0.0640333333333333,1.23493516399695,1.68558042686101,1.36491410723581,0.107933333333333,0.0874,0.0666333333333333,1.23493516399695,1.61980990495248,1.31165582791396,0,214.989999999998,Tuning
1054_mc2,2,39,39,0,161,0.242236,1.0,0.0,2,2,2.0,0.0,2,0.322981,0.677019,0.5,0.250342,2.327212,2.327212,11.197692,11.197692,0.507705,0.635978,1.0,0.629096,0.907594,0.720494,0.2809,0.629096,0.03882,16.205318,17.559686,7,8,0.179487,0.043478,0.125,2,2,2.0,0.0,2,8,5.375,2.263846,0,1,0.179487,0.388776,0.73913,0.677019,0.757764,0.711897,0.029015,0.677019,0.708075,0.695652,0.295,6.46,1e-06,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1.0,4.128,1473,18.298137,0.114363,109,9.5e-05,132.509317,0.184703,0.779501,3.876147,0.398769332557066,0.519149748250244,0.0020915916480594,0.0023054431183519,1.10224341376143,0.608369858725662,0.407054311938524,1.6093605994194,0.706176708686042,0,0.0299999999988358,2.03543893759397,3.08139800382916,77.0,0.0,0.0,0.0464333333333333,0.0464333333333333,0.0464333333333333,1.0,1.0,1.0,0.1425,0.136,0.134366666666667,1.04779411764706,1.06053088563632,1.01215579260729,0.1425,0.136,0.136933333333333,1.04779411764706,1.04065238558909,0.993184031158715,0,221.129999999997,Tuning
1056_mc1,2,38,38,0,9466,0.004014,1.0,0.0,2,2,2.0,0.0,2,0.007184,0.992816,0.5,0.696948,11.008148,11.008148,445.882156,445.882156,0.452292,0.358243,1.0,0.042616,0.061481,0.425107,0.092925,0.042616,0.004162,10.238068,101.128397,8,9,0.210526,0.000845,0.111111,2,4,2.285714,0.755929,2,8,5.333333,2.061553,0,2,0.210526,0.474079,0.938306,0.992816,0.992816,0.992816,0.0,0.992816,0.992816,0.99419,1.738,10.56,0.0,0.535,0.631,0.015,0.007,0.5,0.014,0.021,0.008,0.378,0.999,249.105,9145460,1932.275512,0.20415,9398,1e-06,8704.553349,0.412297,0.750416,2.865985,0.216143611082258,0.50662042435535,0.0004621964344447,0.0008448975935469,1.82800543358129,0.287558960731662,0.30087145315989,1.38530863253405,0.509364190116168,0,0.0300000000006548,,,,,,0.0644,0.0644,0.0644,1.0,1.0,1.0,0.0977,0.0713,0.0557666666666667,1.37026647966339,1.7519426180514,1.27854154213987,0.0977,0.0713,0.0568666666666667,1.37026647966339,1.71805392731536,1.25381008206331,0,218.639999999999,Tuning
1061_ar4,2,29,29,0,107,0.271028,1.0,0.0,2,2,2.0,0.0,2,0.186916,0.813084,0.5,0.442768,2.632114,2.632114,14.16589,14.16589,0.542723,0.716624,1.0,0.48172,0.694975,0.508659,0.220908,0.48172,0.069946,6.887068,6.272207,1,2,0.034483,0.009346,0.5,2,2,2.0,0.0,2,2,2.0,0.0,0,1,0.034483,0.185695,0.859813,0.813084,0.878505,0.851112,0.027918,0.813084,0.813084,0.766355,0.974,7.332,0.0,0.439,0.981,0.409,0.178,0.5,0.336,0.731,0.234,0.257,0.991,3.69,800,14.953271,0.141069,87,0.000346,105.056075,0.231281,0.771435,3.977279,0.364026652264252,0.523210980405153,0.0025660626937297,0.0026475058165561,1.03173855534606,0.556567144481274,0.372830168217479,1.26555963500292,0.661740664139181,0,0.0500000000010914,,,,,,0.0261,0.0261,0.0261,1.0,1.0,1.0,0.0261,0.0261,0.0261,1.0,1.0,1.0,0.0261,0.0261,0.0261,1.0,1.0,1.0,0,413.890000000007,Defaults
1063_kc2,2,21,21,0,522,0.04023,1.0,0.0,2,2,2.0,0.0,2,0.204981,0.795019,0.5,0.41722,4.42648,4.42648,32.985683,32.985683,0.742975,0.598582,1.0,0.50723,0.731779,0.304279,0.097043,0.50723,0.041356,12.265086,6.357616,7,8,0.333333,0.01341,0.125,2,4,2.8,1.095445,2,6,4.625,1.30247,0,2,0.333333,0.658281,0.837165,0.795019,0.854406,0.82859,0.018381,0.795019,0.795019,0.808429,0.85,6.758,0.0,0.042,0.151,0.42,0.197,0.492,0.289,0.75,0.192,0.241,1.0,24.857,21570,82.643678,0.158625,415,1.5e-05,397.047893,0.269719,0.767708,3.334102,0.446637747734451,0.534107259066827,0.0031539840997176,0.0033555161996025,1.06389762710059,0.637902807882902,0.460934367402711,3.31858820782,0.77768448434447,0,0.0600000000013097,1.2134061659466,-0.222352005219589,57.0,0.0,0.0,0.0903333333333333,0.0799333333333333,0.0776333333333333,1.13010842368641,1.1635895234006,1.02962644911979,0.0629333333333333,0.0300666666666667,0.0235,2.09312638580931,2.67801418439716,1.27943262411348,0.0629333333333333,0.0300666666666667,0.0225333333333333,2.09312638580931,2.79289940828402,1.33431952662722,0,538.189999999995,Defaults
1064_ar6,2,29,29,0,101,0.287129,1.0,0.0,2,2,2.0,0.0,2,0.148515,0.851485,0.5,0.497075,1.583703,1.583703,5.716994,5.716994,0.50794,0.693683,1.0,0.420124,0.606111,0.649516,0.282081,0.420124,0.028968,14.503265,21.422194,1,2,0.034483,0.009901,0.5,2,2,2.0,0.0,2,2,2.0,0.0,0,1,0.034483,0.185695,0.871287,0.851485,0.881188,0.854216,0.007893,0.851485,0.851485,0.841584,0.53,20.095,0.0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.921,3.483,753,14.910891,0.149109,86,0.00048,100.247525,0.23928,0.748891,3.763064,0.240605757152767,0.512561029843945,0.0014363955974133,0.0015974756912286,1.11214187380232,0.389863659085543,0.260667222778287,1.57242950309292,0.494849251770941,0,0.0500000000010914,,,,,,0.0753333333333333,0.0753333333333333,0.0634333333333333,1.0,1.18759852863899,1.18759852863899,0.0753333333333333,0.0753333333333333,0.0634666666666667,1.0,1.18697478991597,1.18697478991597,0.0753333333333333,0.0753333333333333,0.0620666666666667,1.0,1.21374865735768,1.21374865735768,0,538.510000000002,Tuning
