File,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_fun_evals,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_fun_evals,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_level.costs_fun_evals,ela_level.costs_runtime,Class
1037_ada_prior,0.5474385153865,0.555297666856803,0.0050378236953597,0.0057606682572681,1.1434834971645,0.761785057826205,0.551706461510108,1.21918498139703,0.860248148766879,0,0.0900000000001455,1.27585858453519,-0.0791327814787208,33.0,0.0,0.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0.0169,0.0169,0.0169,1.0,1.0,1.0,0,318.720000000001,Tuning
1043_ada_agnostic,0.540736995278986,0.560597528432006,0.0054893313324916,0.0059664992895249,1.08692642657748,0.744880888600251,0.543863314657847,3.55115032937567,0.85425569513808,0,0.0400000000008731,1.15609613465304,-0.413838772599503,21.0,0.0,0.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0.0156333333333333,0.0156333333333333,0.0156333333333333,1.0,1.0,1.0,0,226.129999999997,Tuning
1048_jEdit_4.2_4.3,0.486886974405047,0.536509034571953,0.0014827682579848,0.0035244277519428,2.37692419767115,0.567683011981038,0.571894290329017,26.0467982550354,0.764204518307656,0,0.0399999999990541,0.849830726198501,-0.827325687040585,61.0,0.0,0.0,0.0114333333333333,0.0114333333333333,0.0114333333333333,1.0,1.0,1.0,0.0114333333333333,0.0114333333333333,0.0114333333333333,1.0,1.0,1.0,0.0948333333333333,0.0913666666666667,0.063,1.03794235680409,1.50529100529101,1.45026455026455,0,230.050000000003,Defaults
1049_pc4,0.439388993465959,0.536891617811577,0.0034631924535502,0.0042379892680756,1.22372329141893,0.639280254689818,0.46138110372267,1.39806099992913,0.791770786351463,0,0.0399999999990541,nan,nan,nan,nan,nan,0.0936333333333333,0.0916333333333333,0.0908333333333333,1.02182611858858,1.03082568807339,1.00880733944954,0.0936333333333333,0.0916333333333333,0.0912,1.02182611858858,1.02668128654971,1.0047514619883,0.0936333333333333,0.0916333333333333,0.091,1.02182611858858,1.02893772893773,1.00695970695971,0,283.760000000002,Tuning
1050_pc3,0.236486293140208,0.509727232842426,0.0007377486628917,0.0012362024640287,1.67564175471785,0.325306659232294,0.309128711125608,1.17578354501771,0.568459234538959,0,0.0299999999988358,nan,nan,nan,nan,nan,0.0959,0.094,0.0927,1.02021276595745,1.03451995685005,1.01402373247033,0.107933333333333,0.0874,0.0640333333333333,1.23493516399695,1.68558042686101,1.36491410723581,0.107933333333333,0.0874,0.0666333333333333,1.23493516399695,1.61980990495248,1.31165582791396,0,214.989999999998,Tuning
1054_mc2,0.398769332557066,0.519149748250244,0.0020915916480594,0.0023054431183519,1.10224341376143,0.608369858725662,0.407054311938524,1.6093605994194,0.706176708686042,0,0.0299999999988358,2.03543893759397,3.08139800382916,77.0,0.0,0.0,0.0464333333333333,0.0464333333333333,0.0464333333333333,1.0,1.0,1.0,0.1425,0.136,0.134366666666667,1.04779411764706,1.06053088563632,1.01215579260729,0.1425,0.136,0.136933333333333,1.04779411764706,1.04065238558909,0.993184031158715,0,221.129999999997,Tuning
1056_mc1,0.216143611082258,0.50662042435535,0.0004621964344447,0.0008448975935469,1.82800543358129,0.287558960731662,0.30087145315989,1.38530863253405,0.509364190116168,0,0.0300000000006548,nan,nan,nan,nan,nan,0.0644,0.0644,0.0644,1.0,1.0,1.0,0.0977,0.0713,0.0557666666666667,1.37026647966339,1.7519426180514,1.27854154213987,0.0977,0.0713,0.0568666666666667,1.37026647966339,1.71805392731536,1.25381008206331,0,218.639999999999,Tuning
1061_ar4,0.364026652264252,0.523210980405153,0.0025660626937297,0.0026475058165561,1.03173855534606,0.556567144481274,0.372830168217479,1.26555963500292,0.661740664139181,0,0.0500000000010914,nan,nan,nan,nan,nan,0.0261,0.0261,0.0261,1.0,1.0,1.0,0.0261,0.0261,0.0261,1.0,1.0,1.0,0.0261,0.0261,0.0261,1.0,1.0,1.0,0,413.890000000007,Defaults
1063_kc2,0.446637747734451,0.534107259066827,0.0031539840997176,0.0033555161996025,1.06389762710059,0.637902807882902,0.460934367402711,3.31858820782,0.77768448434447,0,0.0600000000013097,1.2134061659466,-0.222352005219589,57.0,0.0,0.0,0.0903333333333333,0.0799333333333333,0.0776333333333333,1.13010842368641,1.1635895234006,1.02962644911979,0.0629333333333333,0.0300666666666667,0.0235,2.09312638580931,2.67801418439716,1.27943262411348,0.0629333333333333,0.0300666666666667,0.0225333333333333,2.09312638580931,2.79289940828402,1.33431952662722,0,538.189999999995,Defaults
1064_ar6,0.240605757152767,0.512561029843945,0.0014363955974133,0.0015974756912286,1.11214187380232,0.389863659085543,0.260667222778287,1.57242950309292,0.494849251770941,0,0.0500000000010914,nan,nan,nan,nan,nan,0.0753333333333333,0.0753333333333333,0.0634333333333333,1.0,1.18759852863899,1.18759852863899,0.0753333333333333,0.0753333333333333,0.0634666666666667,1.0,1.18697478991597,1.18697478991597,0.0753333333333333,0.0753333333333333,0.0620666666666667,1.0,1.21374865735768,1.21374865735768,0,538.510000000002,Tuning
1065_kc3,0.304977930771789,0.511712960270738,0.0013565038304466,0.0014745129996514,1.08699508733852,0.48723299115997,0.328310708091662,10.3584539227379,0.628090521628368,0,0.0500000000010914,nan,nan,nan,nan,nan,0.0586,0.0586,0.0568,1.0,1.03169014084507,1.03169014084507,0.161866666666667,0.159433333333333,0.151033333333333,1.01526238762283,1.07172809534319,1.05561686161995,0.161866666666667,0.159433333333333,0.148566666666667,1.01526238762283,1.08952210006731,1.07314336997981,0,475.909999999996,Tuning
1066_kc1-binary,0.456976970865816,0.545473797522406,0.0041618229782317,0.005233532962918,1.25750974760144,0.648521646344822,0.46628072053826,2.40848991131626,0.750478509904415,0,0.0500000000010914,1.51860487820511,0.616824252456007,135.0,0.0,0.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0,485.980000000003,Defaults
1067_kc1,0.369635853142044,0.515883272829297,0.0015266171422305,0.001709473599616,1.11977885766325,0.530826992758278,0.422012798909903,3.36798527231949,0.743062465734596,0,0.0399999999990541,1.59655416214874,1.36420839358612,86.0,0.0,0.0,0.106333333333333,0.0691,0.0740333333333333,1.53883260974433,1.43628995947771,0.933363349842413,0.0693666666666667,0.0372,0.0298,1.86469534050179,2.32774049217002,1.24832214765101,0.0693666666666667,0.0372,0.0289,1.86469534050179,2.4002306805075,1.28719723183391,0,208.25,Tuning
1068_pc1,0.367669501798556,0.512577978284887,0.0006320302277466,0.001515510189182,2.39784447428294,0.441315320590157,0.485363627442085,1.62484772890828,0.691797933614554,0,0.0300000000006548,1.91990354182556,3.00852227556372,99.0,0.0,0.0100000000020373,0.0764333333333333,0.0691,0.0596666666666667,1.10612638687892,1.28100558659218,1.15810055865922,0.0838666666666667,0.0749333333333333,0.0659333333333333,1.11921708185053,1.27199191102123,1.13650151668352,0.0839,0.0749333333333333,0.0659333333333333,1.11966192170819,1.27249747219414,1.13650151668352,0,205.419999999998,Tuning
1069_pc2,0.0801289186189955,0.501501391599298,0.0001743029131429,0.0002174923770025,1.24778394738707,0.130118350030357,0.101902692574034,3.34423495650538,0.220568595515458,0,0.0300000000006548,5.27473337318936,34.2544113089745,97.0,0.0,0.0,0.0809333333333333,0.0606333333333333,0.0441,1.33479934029687,1.83522297808012,1.37490551776266,0.204133333333333,0.201633333333333,0.141966666666667,1.01239874359398,1.4378962197699,1.42028645221883,0.181533333333333,0.176166666666667,0.1651,1.03046357615894,1.09953563496871,1.06703008277811,0,433.279999999999,Tuning
1071_mw1,0.266096312204604,0.511584518223413,0.0014411143957303,0.0014516870592489,1.00733644986814,0.43245392392077,0.287040756581527,6.9491725496146,0.567471731873041,0,0.0400000000008731,2.8420045656402,7.47196894746886,145.0,0.0,0.0,0.0909333333333333,0.0909333333333333,0.0898333333333333,1.0,1.01224489795918,1.01224489795918,0.1284,0.0993,0.0863,1.29305135951662,1.48783314020857,1.15063731170336,0.115933333333333,0.077,0.0580333333333333,1.50562770562771,1.99770246984492,1.3268236645606,0,320.970000000001,Tuning
1073_jEdit_4.0_4.2,0.461634443984589,0.594140628584776,0.00314253059123,0.007020984212331,2.23418165981417,0.532102112915865,0.662853568809941,9.91251529876358,0.826840288939632,0,0.0500000000010914,0.372843237206364,-1.56236753781208,34.0,0.0,0.0,0.0392,0.0392,0.0392,1.0,1.0,1.0,0.0392,0.0392,0.0392,1.0,1.0,1.0,0.231566666666667,0.140166666666667,0.101566666666667,1.65208085612366,2.27994748933377,1.38004594683295,0,187.849999999999,Defaults
1075_datatrieve,0.103902625146866,0.508075784268374,0.0006119550119636,0.001075837615054,1.7580338325882,0.14072026251287,0.139199032097312,1.0793204565789,0.269138589309804,0,0.0299999999988358,nan,nan,nan,nan,nan,0.0775,0.0775,0.0759666666666667,1.0,1.02018429135586,1.02018429135586,0.1015,0.1154,0.103666666666667,0.879549393414211,0.979099678456592,1.11318327974277,0.1015,0.1154,0.103733333333333,0.879549393414211,0.978470437017995,1.11246786632391,0,187.940000000002,Tuning
11_balance-scale,0.466722747941007,0.563561233287449,0.0089635728854598,0.0108095194852056,1.2059387058413,0.570433411419363,0.61433424636139,4.16180723730108,0.760596173862529,0,0.0300000000006548,0.67684189693087,-0.210685604933877,10.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.119733333333333,0.1233,0.118333333333333,0.971073263044066,1.01183098591549,1.04197183098592,0.253333333333333,0.1898,0.182533333333333,1.33473832103969,1.38787436084733,1.03981008035062,0,124.809999999998,Tuning
1100_PopularKids,0.340900017553937,0.328542723771546,0.0004234824245639,0.002136514819875,5.04510859470666,0.599648076190931,0.341963929221713,1.72180574275309,0.676705616474939,0,0.0600000000013097,0.320625765560964,0.246930050949758,52.0,0.0,0.0,0.102533333333333,0.118966666666667,0.104066666666667,0.86186606892687,0.985265855221012,1.14317745035234,0.0883666666666667,0.0430666666666667,0.0251666666666667,2.05185758513932,3.5112582781457,1.7112582781457,0.102933333333333,0.0631666666666667,0.0403666666666667,1.62955145118734,2.54995871180842,1.56482246077622,0,184.830000000002,Defaults
1115_teachingAssistant,0.465904553000592,0.396854886103934,0.0044279538992622,0.0057014182949217,1.28759657951082,0.597667440837986,0.506372436432877,23.5471403416069,0.742703623442996,0,0.0300000000006548,1.0812515422477,-0.473013314772278,42.0,0.0,0.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0,185.849999999999,Tuning
