seed;iteracao_validacao_cruzada;indices;previsoes;f1_score;acuracia_balanceada;auc
3;0;[3, 7, 9, 13, 36, 37, 38, 47, 50, 77, 91, 117, 128, 131, 150, 162, 166];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning'];0.6666666666666666;0.4326923076923077;0.4326923076923077
3;1;[6, 12, 14, 20, 33, 68, 82, 83, 90, 103, 125, 133, 138, 143, 158, 159, 167];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning'];0.75;0.5961538461538461;0.5961538461538461
3;2;[4, 23, 32, 54, 59, 66, 69, 85, 101, 107, 112, 115, 122, 135, 137, 148, 157];['Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.6956521739130435;0.5333333333333333;0.5333333333333333
3;3;[0, 11, 34, 35, 57, 88, 95, 97, 110, 113, 116, 139, 142, 146, 149, 151, 164];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.64;0.3333333333333333;0.3333333333333333
3;4;[8, 17, 21, 24, 27, 29, 44, 65, 70, 72, 79, 106, 127, 129, 144, 155, 165];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
3;5;[18, 26, 55, 67, 78, 96, 98, 104, 118, 119, 123, 126, 130, 132, 153, 161, 163];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults'];0.6666666666666666;0.5916666666666667;0.5916666666666667
3;6;[5, 10, 42, 43, 46, 52, 53, 60, 64, 73, 75, 81, 93, 94, 114, 136, 156];['Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning'];0.75;0.575;0.575
3;7;[28, 39, 40, 41, 45, 48, 49, 62, 71, 74, 84, 102, 109, 134, 140, 141, 145];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults'];0.8;0.6166666666666667;0.6166666666666667
3;8;[1, 2, 19, 22, 30, 51, 58, 76, 80, 86, 92, 100, 108, 120, 124, 152, 168];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults'];0.6956521739130435;0.5333333333333333;0.5333333333333333
3;9;[15, 16, 25, 31, 56, 61, 63, 87, 89, 99, 105, 111, 121, 147, 154, 160];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8461538461538461;0.5833333333333333;0.5833333333333333
